"filename", "language", "JavaScript", "JSON", "TypeScript JSX", "XML", "CSS", "TypeScript", "HTML", "comment", "blank", "total"
"c:\Users\jucki\OneDrive\Рабочий стол\Elbrus Folder\FINALPROJECT\zoo-hotel\client\index.html", "HTML", 0, 0, 0, 0, 0, 0, 3, 0, 0, 3
"c:\Users\jucki\OneDrive\Рабочий стол\Elbrus Folder\FINALPROJECT\zoo-hotel\client\package-lock.json", "JSON", 0, 64, 0, 0, 0, 0, 0, 0, 0, 64
"c:\Users\jucki\OneDrive\Рабочий стол\Elbrus Folder\FINALPROJECT\zoo-hotel\client\package.json", "JSON", 0, 2, 0, 0, 0, 0, 0, 0, 0, 2
"c:\Users\jucki\OneDrive\Рабочий стол\Elbrus Folder\FINALPROJECT\zoo-hotel\client\public\img\gmail.svg", "XML", 0, 0, 0, 1, 0, 0, 0, 0, 0, 1
"c:\Users\jucki\OneDrive\Рабочий стол\Elbrus Folder\FINALPROJECT\zoo-hotel\client\public\img\logo.svg", "XML", 0, 0, 0, 9, 0, 0, 0, 0, 0, 9
"c:\Users\jucki\OneDrive\Рабочий стол\Elbrus Folder\FINALPROJECT\zoo-hotel\client\public\img\telegram.svg", "XML", 0, 0, 0, 1, 0, 0, 0, 0, 0, 1
"c:\Users\jucki\OneDrive\Рабочий стол\Elbrus Folder\FINALPROJECT\zoo-hotel\client\public\img\vk.svg", "XML", 0, 0, 0, 1, 0, 0, 0, 0, 0, 1
"c:\Users\jucki\OneDrive\Рабочий стол\Elbrus Folder\FINALPROJECT\zoo-hotel\client\src\App.tsx", "TypeScript JSX", 0, 0, 11, 0, 0, 0, 0, 0, -1, 10
"c:\Users\jucki\OneDrive\Рабочий стол\Elbrus Folder\FINALPROJECT\zoo-hotel\client\src\components\AccountComponents\OrdersComponent\OrderCard.module.css", "CSS", 0, 0, 0, 0, 130, 0, 0, 0, 27, 157
"c:\Users\jucki\OneDrive\Рабочий стол\Elbrus Folder\FINALPROJECT\zoo-hotel\client\src\components\AccountComponents\OrdersComponent\OrderCard.tsx", "TypeScript JSX", 0, 0, 63, 0, 0, 0, 0, 1, 9, 73
"c:\Users\jucki\OneDrive\Рабочий стол\Elbrus Folder\FINALPROJECT\zoo-hotel\client\src\components\AccountComponents\OrdersComponent\OrderCardList.css", "CSS", 0, 0, 0, 0, -138, 0, 0, 0, -28, -166
"c:\Users\jucki\OneDrive\Рабочий стол\Elbrus Folder\FINALPROJECT\zoo-hotel\client\src\components\AccountComponents\OrdersComponent\OrderCardList.module.css", "CSS", 0, 0, 0, 0, 38, 0, 0, 0, 6, 44
"c:\Users\jucki\OneDrive\Рабочий стол\Elbrus Folder\FINALPROJECT\zoo-hotel\client\src\components\AccountComponents\OrdersComponent\OrderCardList.tsx", "TypeScript JSX", 0, 0, 122, 0, 0, 0, 0, 1, 6, 129
"c:\Users\jucki\OneDrive\Рабочий стол\Elbrus Folder\FINALPROJECT\zoo-hotel\client\src\components\AccountComponents\OrdersComponent\OrderPostModal.module.css", "CSS", 0, 0, 0, 0, 19, 0, 0, 0, 3, 22
"c:\Users\jucki\OneDrive\Рабочий стол\Elbrus Folder\FINALPROJECT\zoo-hotel\client\src\components\AccountComponents\OrdersComponent\OrderPostModal.tsx", "TypeScript JSX", 0, 0, 16, 0, 0, 0, 0, 0, -3, 13
"c:\Users\jucki\OneDrive\Рабочий стол\Elbrus Folder\FINALPROJECT\zoo-hotel\client\src\components\AccountComponents\OrdersComponent\OrderProgressBar.tsx", "TypeScript JSX", 0, 0, 72, 0, 0, 0, 0, 0, 12, 84
"c:\Users\jucki\OneDrive\Рабочий стол\Elbrus Folder\FINALPROJECT\zoo-hotel\client\src\components\AccountComponents\OrdersComponent\OrdersComponent.module.css", "CSS", 0, 0, 0, 0, 10, 0, 0, 0, 4, 14
"c:\Users\jucki\OneDrive\Рабочий стол\Elbrus Folder\FINALPROJECT\zoo-hotel\client\src\components\AccountComponents\OrdersComponent\OrdersComponent.tsx", "TypeScript JSX", 0, 0, 19, 0, 0, 0, 0, 0, 0, 19
"c:\Users\jucki\OneDrive\Рабочий стол\Elbrus Folder\FINALPROJECT\zoo-hotel\client\src\components\AccountComponents\PetsComponent\EmptyPet.module.css", "CSS", 0, 0, 0, 0, 3, 0, 0, 0, 0, 3
"c:\Users\jucki\OneDrive\Рабочий стол\Elbrus Folder\FINALPROJECT\zoo-hotel\client\src\components\AccountComponents\PetsComponent\EmptyPet.tsx", "TypeScript JSX", 0, 0, 4, 0, 0, 0, 0, 0, 1, 5
"c:\Users\jucki\OneDrive\Рабочий стол\Elbrus Folder\FINALPROJECT\zoo-hotel\client\src\components\AccountComponents\PetsComponent\PetCard.module.css", "CSS", 0, 0, 0, 0, 58, 0, 0, 3, 6, 67
"c:\Users\jucki\OneDrive\Рабочий стол\Elbrus Folder\FINALPROJECT\zoo-hotel\client\src\components\AccountComponents\PetsComponent\PetCard.tsx", "TypeScript JSX", 0, 0, 57, 0, 0, 0, 0, 0, 3, 60
"c:\Users\jucki\OneDrive\Рабочий стол\Elbrus Folder\FINALPROJECT\zoo-hotel\client\src\components\AccountComponents\PetsComponent\PetForm.tsx", "TypeScript JSX", 0, 0, 42, 0, 0, 0, 0, 2, 1, 45
"c:\Users\jucki\OneDrive\Рабочий стол\Elbrus Folder\FINALPROJECT\zoo-hotel\client\src\components\AccountComponents\PetsComponent\PetMenu.module.css", "CSS", 0, 0, 0, 0, 41, 0, 0, 0, 9, 50
"c:\Users\jucki\OneDrive\Рабочий стол\Elbrus Folder\FINALPROJECT\zoo-hotel\client\src\components\AccountComponents\PetsComponent\PetMenu.tsx", "TypeScript JSX", 0, 0, 12, 0, 0, 0, 0, 0, 1, 13
"c:\Users\jucki\OneDrive\Рабочий стол\Elbrus Folder\FINALPROJECT\zoo-hotel\client\src\components\AccountComponents\ProfileComponent\EditModal.module.css", "CSS", 0, 0, 0, 0, 20, 0, 0, 1, 1, 22
"c:\Users\jucki\OneDrive\Рабочий стол\Elbrus Folder\FINALPROJECT\zoo-hotel\client\src\components\AccountComponents\ProfileComponent\EditModal.tsx", "TypeScript JSX", 0, 0, 112, 0, 0, 0, 0, 1, 7, 120
"c:\Users\jucki\OneDrive\Рабочий стол\Elbrus Folder\FINALPROJECT\zoo-hotel\client\src\components\AccountComponents\ProfileComponent\OrderCardMini.module.css", "CSS", 0, 0, 0, 0, 8, 0, 0, 0, 0, 8
"c:\Users\jucki\OneDrive\Рабочий стол\Elbrus Folder\FINALPROJECT\zoo-hotel\client\src\components\AccountComponents\ProfileComponent\OrderCardMini.tsx", "TypeScript JSX", 0, 0, 7, 0, 0, 0, 0, 0, 1, 8
"c:\Users\jucki\OneDrive\Рабочий стол\Elbrus Folder\FINALPROJECT\zoo-hotel\client\src\components\AccountComponents\ProfileComponent\PetCardMini.module.css", "CSS", 0, 0, 0, 0, 7, 0, 0, 0, 2, 9
"c:\Users\jucki\OneDrive\Рабочий стол\Elbrus Folder\FINALPROJECT\zoo-hotel\client\src\components\AccountComponents\ProfileComponent\PetCardMini.tsx", "TypeScript JSX", 0, 0, 10, 0, 0, 0, 0, 0, 2, 12
"c:\Users\jucki\OneDrive\Рабочий стол\Elbrus Folder\FINALPROJECT\zoo-hotel\client\src\components\AccountComponents\ProfileComponent\Profile.module.css", "CSS", 0, 0, 0, 0, 19, 0, 0, 3, 4, 26
"c:\Users\jucki\OneDrive\Рабочий стол\Elbrus Folder\FINALPROJECT\zoo-hotel\client\src\components\AccountComponents\ProfileComponent\ProfileCard.module.css", "CSS", 0, 0, 0, 0, 2, 0, 0, 2, 0, 4
"c:\Users\jucki\OneDrive\Рабочий стол\Elbrus Folder\FINALPROJECT\zoo-hotel\client\src\components\AccountComponents\ProfileComponent\ProfileCard.tsx", "TypeScript JSX", 0, 0, -31, 0, 0, 0, 0, -1, -5, -37
"c:\Users\jucki\OneDrive\Рабочий стол\Elbrus Folder\FINALPROJECT\zoo-hotel\client\src\components\AccountComponents\ProfileComponent\ProfileComponent.tsx", "TypeScript JSX", 0, 0, 5, 0, 0, 0, 0, 0, 2, 7
"c:\Users\jucki\OneDrive\Рабочий стол\Elbrus Folder\FINALPROJECT\zoo-hotel\client\src\components\AuthComponents\AuthWrapper\AuthWrapper.tsx", "TypeScript JSX", 0, 0, -2, 0, 0, 0, 0, 0, 0, -2
"c:\Users\jucki\OneDrive\Рабочий стол\Elbrus Folder\FINALPROJECT\zoo-hotel\client\src\components\AuthComponents\LoginForm\LoginForm.tsx", "TypeScript JSX", 0, 0, 81, 0, 0, 0, 0, 2, 5, 88
"c:\Users\jucki\OneDrive\Рабочий стол\Elbrus Folder\FINALPROJECT\zoo-hotel\client\src\components\AuthComponents\RegisterForm\RegisterForm.tsx", "TypeScript JSX", 0, 0, 46, 0, 0, 0, 0, -1, 13, 58
"c:\Users\jucki\OneDrive\Рабочий стол\Elbrus Folder\FINALPROJECT\zoo-hotel\client\src\components\BackgroundComponents\Background.module.css", "CSS", 0, 0, 0, 0, 94, 0, 0, 3, 14, 111
"c:\Users\jucki\OneDrive\Рабочий стол\Elbrus Folder\FINALPROJECT\zoo-hotel\client\src\components\BackgroundComponents\Background.tsx", "TypeScript JSX", 0, 0, 17, 0, 0, 0, 0, 0, 2, 19
"c:\Users\jucki\OneDrive\Рабочий стол\Elbrus Folder\FINALPROJECT\zoo-hotel\client\src\components\GlassWrapper\CardGlassWrapper.module.css", "CSS", 0, 0, 0, 0, 15, 0, 0, 0, 2, 17
"c:\Users\jucki\OneDrive\Рабочий стол\Elbrus Folder\FINALPROJECT\zoo-hotel\client\src\components\GlassWrapper\CardGlassWrapper.tsx", "TypeScript JSX", 0, 0, 10, 0, 0, 0, 0, 0, 2, 12
